epoch,loss,step,outside box penalty
4,1.2239220142364502,4,1.0
9,0.5025563836097717,9,1.0
14,-0.31618696451187134,14,1.0
19,-0.355282187461853,19,1.0
24,0.07202491164207458,24,1.0
29,-0.9766339659690857,29,1.0
34,-0.7447763681411743,34,1.0
39,-0.9549812078475952,39,1.0
44,-1.191372036933899,44,1.0
49,-1.2268394231796265,49,1.0
54,-1.3385728597640991,54,1.0
59,-1.3223671913146973,59,1.0
64,-1.3956804275512695,64,1.0
69,-1.4371237754821777,69,1.0
74,-1.4335906505584717,74,1.0
79,-1.4794608354568481,79,1.0
84,-1.5078935623168945,84,1.0
89,-1.5518784523010254,89,1.0
94,-1.5933281183242798,94,1.0
99,-1.6374117136001587,99,1.0
