outside box penalty,loss,step,epoch
1.0,1.2321827411651611,4,4
1.0,0.6011943221092224,9,9
1.0,-0.6424131393432617,14,14
1.0,-1.2679755687713623,19,19
1.0,-1.7343482971191406,24,24
1.0,-0.8700268268585205,29,29
1.0,-1.4200516939163208,34,34
1.0,-1.282372236251831,39,39
1.0,-1.5101646184921265,44,44
1.0,-1.8118549585342407,49,49
1.0,-1.7766612768173218,54,54
1.0,-1.809147596359253,59,59
1.0,-1.870317816734314,64,64
1.0,-1.8333232402801514,69,69
1.0,-1.8456671237945557,74,74
1.0,-1.91289484500885,79,79
1.0,-1.9722520112991333,84,84
1.0,-1.7612210512161255,89,89
1.0,-2.0391616821289062,94,94
1.0,-2.127479314804077,99,99
