outside box penalty,loss,step,epoch
1.0,1.2457565069198608,4,4
1.0,0.7612722516059875,9,9
1.0,-0.4382327198982239,14,14
1.0,-1.775966763496399,19,19
1.0,-2.0332765579223633,24,24
1.0,-2.4917120933532715,29,29
1.0,-2.6617259979248047,34,34
1.0,-2.905461311340332,39,39
1.0,-3.3141672611236572,44,44
1.0,-3.0994269847869873,49,49
1.0,-3.1037869453430176,54,54
1.0,-3.417492151260376,59,59
1.0,-3.24214243888855,64,64
1.0,-3.401099681854248,69,69
1.0,-3.4710865020751953,74,74
1.0,-3.4322350025177,79,79
1.0,-3.3679699897766113,84,84
1.0,-3.4524106979370117,89,89
1.0,-3.644317388534546,94,94
1.0,-3.662454605102539,99,99
