outside box penalty,loss,step,epoch
1.0,1.1817491054534912,4,4
1.0,0.5090571045875549,9,9
1.0,-1.0250946283340454,14,14
1.0,-2.4838342666625977,19,19
1.0,-2.9668898582458496,24,24
1.0,-3.238097667694092,29,29
1.0,-3.404639482498169,34,34
1.0,-3.4446468353271484,39,39
1.0,-3.586132526397705,44,44
1.0,-3.7381343841552734,49,49
1.0,-3.793189764022827,54,54
1.0,-3.800328016281128,59,59
1.0,-3.919661283493042,64,64
1.0,-3.8899919986724854,69,69
1.0,-3.931889295578003,74,74
1.0,-3.9741084575653076,79,79
1.0,-3.9277729988098145,84,84
1.0,-3.932651996612549,89,89
1.0,-4.0278778076171875,94,94
1.0,-3.7405197620391846,99,99
