outside box penalty,loss,step,epoch
1.0,1.2287161350250244,4,4
1.0,0.5480765104293823,9,9
1.0,-0.9784185886383057,14,14
1.0,-0.5143421292304993,19,19
1.0,-0.8730889558792114,24,24
1.0,-1.5317999124526978,29,29
1.0,-1.466718077659607,34,34
1.0,-1.4916819334030151,39,39
1.0,-1.7056820392608643,44,44
1.0,-1.46589994430542,49,49
1.0,-1.606863260269165,54,54
1.0,-1.5057640075683594,59,59
1.0,-1.6022695302963257,64,64
1.0,-1.6840766668319702,69,69
1.0,-1.7354443073272705,74,74
1.0,-1.782961368560791,79,79
1.0,-1.7773823738098145,84,84
1.0,-1.6981011629104614,89,89
1.0,-1.5831899642944336,94,94
1.0,-1.643900990486145,99,99
