step,outside box penalty,loss,epoch
4,1.0,1.3325963020324707,4
9,1.0,1.0767748355865479,9
14,1.0,0.37303274869918823,14
19,1.0,-0.8791223168373108,19
24,1.0,0.2913070619106293,24
