epoch,loss,step,outside box penalty
4,1.1496635675430298,4,1.0
9,0.26207438111305237,9,1.0
14,-1.2730275392532349,14,1.0
19,-0.055145908147096634,19,1.0
24,-1.4738640785217285,24,1.0
29,-1.2600847482681274,29,1.0
34,-1.2890464067459106,34,1.0
39,-1.3503572940826416,39,1.0
44,-1.4494529962539673,44,1.0
49,-1.5244781970977783,49,1.0
54,-1.13799250125885,54,1.0
59,-1.4286059141159058,59,1.0
64,-1.3311609029769897,64,1.0
69,-1.357725977897644,69,1.0
74,-1.5075689554214478,74,1.0
79,-1.678379774093628,79,1.0
84,-1.4698070287704468,84,1.0
89,-1.2590802907943726,89,1.0
94,-1.5029346942901611,94,1.0
99,-1.5622408390045166,99,1.0
