outside box penalty,loss,step,epoch
1.0,1.2331453561782837,4,4
1.0,0.6433801054954529,9,9
1.0,-0.7453199625015259,14,14
1.0,-1.0842280387878418,19,19
1.0,-1.3807978630065918,24,24
1.0,-1.1104121208190918,29,29
1.0,-0.8678388595581055,34,34
1.0,-0.9147995114326477,39,39
1.0,-1.1766718626022339,44,44
1.0,-1.3632354736328125,49,49
1.0,-1.3831661939620972,54,54
1.0,-0.5676448345184326,59,59
1.0,-1.3266109228134155,64,64
1.0,-1.2015652656555176,69,69
1.0,-1.210425853729248,74,74
1.0,-1.305195689201355,79,79
1.0,-1.3503100872039795,84,84
1.0,-1.3594871759414673,89,89
1.0,-1.226147174835205,94,94
1.0,-1.1855313777923584,99,99
