epoch,loss,step,outside box penalty
4,1.3195652961730957,4,1.0
9,0.9538003206253052,9,1.0
14,-0.2511480152606964,14,1.0
19,-0.5493714213371277,19,1.0
24,-0.5385648608207703,24,1.0
29,-1.1980758905410767,29,1.0
34,-1.1956737041473389,34,1.0
39,-1.221858024597168,39,1.0
44,-1.3494588136672974,44,1.0
49,-1.3557871580123901,49,1.0
54,-1.3902801275253296,54,1.0
59,-1.4022547006607056,59,1.0
64,-1.2584267854690552,64,1.0
69,-1.3478237390518188,69,1.0
74,-1.530039668083191,74,1.0
79,-1.6255993843078613,79,1.0
84,-1.27029287815094,84,1.0
89,-1.593148946762085,89,1.0
94,-1.6264007091522217,94,1.0
99,-1.7811970710754395,99,1.0
