outside box penalty,loss,step,epoch
1.0,1.2800581455230713,4,4
1.0,0.8798778057098389,9,9
1.0,-0.10901600867509842,14,14
1.0,-1.5504640340805054,19,19
1.0,-1.5737111568450928,24,24
1.0,-1.6128504276275635,29,29
1.0,-1.6130934953689575,34,34
1.0,-1.907676100730896,39,39
1.0,-2.1811788082122803,44,44
1.0,-2.4532973766326904,49,49
1.0,-3.020951747894287,54,54
1.0,-3.7610530853271484,59,59
1.0,-3.9885623455047607,64,64
1.0,-3.9737327098846436,69,69
1.0,-3.6051416397094727,74,74
1.0,-4.029208183288574,79,79
1.0,-4.0362138748168945,84,84
1.0,-4.110964298248291,89,89
1.0,-4.092308044433594,94,94
1.0,-4.0401930809021,99,99
