step,loss,epoch,outside box penalty
4,1.488419532775879,4,1.0000046491622925
9,1.4091631174087524,9,1.0000019073486328
14,1.3838999271392822,14,1.0000009536743164
19,1.3864262104034424,19,1.000002384185791
24,1.3752524852752686,24,1.0000019073486328
29,1.3655864000320435,29,1.0000009536743164
34,1.361292839050293,34,1.0000008344650269
39,1.355331540107727,39,1.0000015497207642
44,1.3472508192062378,44,1.0000027418136597
49,1.3391467332839966,49,1.0000038146972656
54,1.3313143253326416,54,1.0000056028366089
59,1.3231841325759888,59,1.000007152557373
64,1.3153003454208374,64,1.000008225440979
69,1.3085033893585205,69,1.0000090599060059
74,1.3026078939437866,74,1.00001060962677
79,1.29762864112854,79,1.0000121593475342
84,1.2928879261016846,84,1.0000126361846924
89,1.2880758047103882,89,1.0000134706497192
94,1.2828519344329834,94,1.000013828277588
99,1.2769923210144043,99,1.0000141859054565
