epoch,loss,step,outside box penalty
4,1.1963422298431396,4,1.0
9,0.4023524522781372,9,1.0
14,-1.0686794519424438,14,1.0
19,-1.350986361503601,19,1.0
24,-1.3472141027450562,24,1.0
29,-1.3584232330322266,29,1.0
34,-1.3948944807052612,34,1.0
39,-1.3754870891571045,39,1.0
44,-1.455575942993164,44,1.0
49,-1.5207892656326294,49,1.0
54,-1.5675793886184692,54,1.0
59,-1.6030257940292358,59,1.0
64,-1.646005630493164,64,1.0
69,-1.674915075302124,69,1.0
74,-1.714372992515564,74,1.0
79,-1.6856334209442139,79,1.0
84,-1.7317094802856445,84,1.0
89,-1.6245073080062866,89,1.0
94,-1.8997689485549927,94,1.0
99,-2.073183536529541,99,1.0
