outside box penalty,loss,step,epoch
1.0,1.3158828020095825,4,4
1.0,1.0523550510406494,9,9
1.0,0.4615715444087982,14,14
1.0,-0.35284048318862915,19,19
1.0,-0.46069344878196716,24,24
1.0,-1.3801910877227783,29,29
1.0,-1.4956423044204712,34,34
1.0,-1.920436143875122,39,39
1.0,-2.212268114089966,44,44
1.0,-2.3730409145355225,49,49
1.0,-2.5549912452697754,54,54
1.0,-2.673079252243042,59,59
1.0,-2.797671318054199,64,64
1.0,-2.861605405807495,69,69
1.0,-2.898005723953247,74,74
1.0,-2.9322574138641357,79,79
1.0,-3.0428617000579834,84,84
1.0,-2.9982361793518066,89,89
1.0,-3.033561944961548,94,94
1.0,-3.03196382522583,99,99
