outside box penalty,loss,step,epoch
1.0,1.317484974861145,4,4
1.0,0.9574029445648193,9,9
1.0,-0.07869147509336472,14,14
1.0,-1.145005226135254,19,19
1.0,-0.8849987387657166,24,24
1.0,-1.194693922996521,29,29
1.0,-0.9024865627288818,34,34
1.0,-0.9491996765136719,39,39
1.0,-1.0481038093566895,44,44
1.0,-1.3171194791793823,49,49
1.0,-1.2783746719360352,54,54
1.0,-1.3141450881958008,59,59
1.0,-1.4304356575012207,64,64
1.0,-1.3463259935379028,69,69
1.0,-1.4721390008926392,74,74
1.0,-1.4850376844406128,79,79
1.0,-1.53475821018219,84,84
1.0,-1.5525805950164795,89,89
1.0,-1.573975682258606,94,94
1.0,-1.624265432357788,99,99
