loss,epoch,step,outside box penalty
1.4692583084106445,4,4,1.0000090599060059
1.4105913639068604,9,9,1.0000051259994507
1.3399040699005127,14,14,1.0
1.32033109664917,19,19,1.0
1.303478717803955,24,24,1.000001072883606
1.2967016696929932,29,29,1.0000015497207642
1.2883925437927246,34,34,1.0000005960464478
1.280301570892334,39,39,1.0
1.270601749420166,44,44,1.0
1.2625491619110107,49,49,1.0
1.2514734268188477,54,54,1.0
1.235405683517456,59,59,1.0
1.2161999940872192,64,64,1.0
1.1830508708953857,69,69,1.0
1.1444193124771118,74,74,1.0
1.1044344902038574,79,79,1.0
1.0552743673324585,84,84,1.0
1.052632212638855,89,89,1.0
1.0488654375076294,94,94,1.0
1.012524127960205,99,99,1.0
0.9966464042663574,104,104,1.0
0.9802237749099731,109,109,1.0
0.9644303321838379,114,114,1.0
0.9579725861549377,119,119,1.0
0.9412859678268433,124,124,1.0
0.9278583526611328,129,129,1.0
0.9152451157569885,134,134,1.0
0.9071673154830933,139,139,1.0
0.9385786056518555,144,144,1.0
0.8894286155700684,149,149,1.0
0.8639059066772461,154,154,1.0
0.8363170623779297,159,159,1.0
0.844390869140625,164,164,1.0
0.8270360231399536,169,169,1.0
0.8034493327140808,174,174,1.0
0.7903867363929749,179,179,1.0
0.746300458908081,184,184,1.0
0.7492319345474243,189,189,1.0
0.7362725734710693,194,194,1.0
0.8974993228912354,199,199,1.0
0.8001840114593506,204,204,1.0
0.7958846092224121,209,209,1.0
0.6920465230941772,214,214,1.0
0.8766202330589294,219,219,1.0
0.7877898216247559,224,224,1.0
0.8323519229888916,229,229,1.0
0.7021247148513794,234,234,1.0
0.6650024056434631,239,239,1.0
0.6184374690055847,244,244,1.0
0.725430428981781,249,249,1.0
0.666110634803772,254,254,1.0
