outside box penalty,loss,step,epoch
1.0,1.26041841506958,4,4
1.0,0.8017773628234863,9,9
1.0,-0.21778614819049835,14,14
1.0,-0.927567183971405,19,19
1.0,-1.2923537492752075,24,24
1.0,-1.1504433155059814,29,29
1.0,-1.3945446014404297,34,34
1.0,-1.3916047811508179,39,39
1.0,-1.4951536655426025,44,44
1.0,-1.6161985397338867,49,49
1.0,-1.6791845560073853,54,54
1.0,-1.725281000137329,59,59
1.0,-1.7484064102172852,64,64
1.0,-1.6281437873840332,69,69
1.0,-2.1957483291625977,74,74
1.0,-2.585660696029663,79,79
1.0,-3.11801815032959,84,84
1.0,-3.3833608627319336,89,89
1.0,-2.782958745956421,94,94
1.0,-3.802623748779297,99,99
