epoch,loss,step,outside box penalty
4,1.2864818572998047,4,1.0
9,0.8791555762290955,9,1.0
14,-0.1567080169916153,14,1.0
19,-1.425847053527832,19,1.0
24,-1.4555784463882446,24,1.0
29,-1.6479936838150024,29,1.0
34,-2.1960701942443848,34,1.0
39,-2.6275877952575684,39,1.0
44,-3.2606189250946045,44,1.0
49,-3.424673080444336,49,1.0
54,-3.1523711681365967,54,1.0
59,-2.9956400394439697,59,1.0
64,-3.371126651763916,64,1.0
69,-3.058137893676758,69,1.0
74,-3.2559850215911865,74,1.0
79,-3.5838005542755127,79,1.0
84,-3.612943410873413,84,1.0
89,-3.6879093647003174,89,1.0
94,-3.7478439807891846,94,1.0
99,-3.7478723526000977,99,1.0
