step,loss,epoch,outside box penalty
4,1.2186672687530518,4,1.0
9,0.6342985033988953,9,1.0
14,-0.8715710043907166,14,1.0
19,-1.5580466985702515,19,1.0
24,-1.8101526498794556,24,1.0
29,-1.547843098640442,29,1.0
34,-1.8764598369598389,34,1.0
39,-2.2085230350494385,39,1.0
44,-2.58624005317688,44,1.0
49,-2.6517715454101562,49,1.0
54,-2.996486186981201,54,1.0
59,-3.1525402069091797,59,1.0
64,-3.344974994659424,64,1.0
69,-3.4278011322021484,69,1.0
74,-3.6119611263275146,74,1.0
79,-3.4695382118225098,79,1.0
84,-3.3374879360198975,84,1.0
89,-3.4315481185913086,89,1.0
94,-3.356001138687134,94,1.0
99,-3.595536231994629,99,1.0
104,-3.6452579498291016,104,1.0
109,-3.654756546020508,109,1.0
114,-3.5779833793640137,114,1.0
119,-3.663750171661377,119,1.0
124,-3.62142014503479,124,1.0
129,-3.5855140686035156,129,1.0
134,-3.5926413536071777,134,1.0
139,-3.5572664737701416,139,1.0
