outside box penalty,loss,step,epoch
1.0,1.2572063207626343,4,4
1.0,0.7745760679244995,9,9
1.0,-0.41484498977661133,14,14
1.0,-1.031463861465454,19,19
1.0,-1.2429077625274658,24,24
1.0,-1.4782742261886597,29,29
1.0,-1.6126166582107544,34,34
1.0,-1.713547945022583,39,39
1.0,-1.859286904335022,44,44
1.0,-2.1278460025787354,49,49
1.0,-2.432359457015991,54,54
1.0,-2.8024420738220215,59,59
1.0,-3.138402223587036,64,64
1.0,-3.3529226779937744,69,69
1.0,-3.2829067707061768,74,74
1.0,-3.2306814193725586,79,79
1.0,-3.213029623031616,84,84
1.0,-3.1218128204345703,89,89
1.0,-3.0994374752044678,94,94
1.0,-3.294804334640503,99,99
