outside box penalty,loss,step,epoch
1.0,1.2017199993133545,4,4
1.0,0.516407310962677,9,9
1.0,-1.0576636791229248,14,14
1.0,-1.0605937242507935,19,19
1.0,-1.5717040300369263,24,24
1.0,-1.7058779001235962,29,29
1.0,-1.958265781402588,34,34
1.0,-2.353529214859009,39,39
1.0,-2.827254056930542,44,44
1.0,-3.385856866836548,49,49
1.0,-3.6299424171447754,54,54
1.0,-3.6352016925811768,59,59
1.0,-3.6182479858398438,64,64
1.0,-3.662982702255249,69,69
1.0,-3.4599173069000244,74,74
1.0,-3.5505568981170654,79,79
1.0,-3.497014284133911,84,84
1.0,-3.7733333110809326,89,89
1.0,-3.6305649280548096,94,94
1.0,-3.7633442878723145,99,99
