loss,step,outside box penalty,epoch
1.5915724039077759,4,1.0000114440917969,4
1.561853289604187,9,1.0000104904174805,9
1.5034358501434326,14,1.0000100135803223,14
1.4711153507232666,19,1.0000089406967163,19
1.465628743171692,24,1.000008225440979,24
1.4279364347457886,29,1.0000075101852417,29
1.4030916690826416,34,1.0000066757202148,34
1.3812286853790283,39,1.000005841255188,39
1.36270272731781,44,1.0000048875808716,44
1.3459577560424805,49,1.0000042915344238,49
1.3322479724884033,54,1.000003457069397,54
1.3188482522964478,59,1.0000028610229492,59
1.3075597286224365,64,1.000002145767212,64
1.2968506813049316,69,1.0000019073486328,69
1.2870553731918335,74,1.000001311302185,74
1.2775628566741943,79,1.0000009536743164,79
1.2682820558547974,84,1.0000008344650269,84
1.2596681118011475,89,1.0000005960464478,89
1.2515921592712402,94,1.0000005960464478,94
1.2428691387176514,99,1.0000004768371582,99
1.2324872016906738,104,1.0000003576278687,104
1.219667673110962,109,1.0000001192092896,109
1.2011345624923706,114,1.000000238418579,114
1.1690363883972168,119,1.0000003576278687,119
1.107433795928955,124,1.0000005960464478,124
1.115445852279663,129,1.0,129
1.2287309169769287,134,1.0,134
1.2210911512374878,139,1.0,139
1.1917674541473389,144,1.0,144
1.1507391929626465,149,1.0,149
1.1299450397491455,154,1.0,154
1.1234935522079468,159,1.0,159
1.0903687477111816,164,1.0,164
1.0375806093215942,169,1.0,169
1.0162521600723267,174,1.0,174
0.9801281094551086,179,1.0,179
