outside box penalty,loss,step,epoch
1.0,1.3358784914016724,4,4
1.0,1.1310313940048218,9,9
1.0,0.621539831161499,14,14
1.0,-0.3822656273841858,19,19
1.0,-0.6711903214454651,24,24
1.0,-1.0072249174118042,29,29
1.0,-1.5512486696243286,34,34
1.0,-1.6350160837173462,39,39
1.0,-1.6923476457595825,44,44
1.0,-1.8791793584823608,49,49
1.0,-2.054762125015259,54,54
1.0,-2.1904501914978027,59,59
1.0,-2.2990448474884033,64,64
1.0,-2.4331109523773193,69,69
1.0,-2.6241564750671387,74,74
1.0,-2.7336208820343018,79,79
1.0,-2.855821132659912,84,84
1.0,-2.9225621223449707,89,89
1.0,-3.0292844772338867,94,94
1.0,-3.107839822769165,99,99
