outside box penalty,loss,epoch,step
1.0,1.2585560083389282,4,4
1.0,0.8357197046279907,9,9
1.0,-0.25994303822517395,14,14
1.0,-2.2092607021331787,19,19
1.0,-3.575094223022461,24,24
