outside box penalty,loss,step,epoch
1.0,1.2359166145324707,4,4
1.0,0.8697794675827026,9,9
1.0,0.13629122078418732,14,14
1.0,-0.33888646960258484,19,19
1.0,-0.24155160784721375,24,24
1.0,-0.9303459525108337,29,29
1.0,-0.418285608291626,34,34
1.0,-0.8957476019859314,39,39
1.0,-1.2155590057373047,44,44
1.0,-1.5433802604675293,49,49
1.0,-1.5595777034759521,54,54
1.0,-1.8524523973464966,59,59
1.0,-2.220211982727051,64,64
1.0,-2.514728307723999,69,69
1.0,-2.861191987991333,74,74
1.0,-2.805501699447632,79,79
1.0,-2.7614991664886475,84,84
1.0,-3.0353050231933594,89,89
1.0,-3.0425407886505127,94,94
1.0,-3.1252002716064453,99,99
