outside box penalty,loss,step,epoch
1.0,1.3029186725616455,4,4
1.0,1.0282882452011108,9,9
1.0,0.4352368712425232,14,14
1.0,-0.5810720324516296,19,19
1.0,-1.229066014289856,24,24
1.0,-1.521480679512024,29,29
1.0,-0.7565650343894958,34,34
1.0,-2.008723020553589,39,39
1.0,-3.341395616531372,44,44
1.0,-3.5892438888549805,49,49
1.0,-2.6503117084503174,54,54
1.0,-2.7955892086029053,59,59
1.0,-3.175340414047241,64,64
1.0,-3.299774169921875,69,69
1.0,-3.7545223236083984,74,74
1.0,-3.920764923095703,79,79
1.0,-3.5028505325317383,84,84
1.0,-3.9234063625335693,89,89
1.0,-3.8733866214752197,94,94
1.0,-3.837367057800293,99,99
