outside box penalty,loss,step,epoch
1.0,1.2918277978897095,4,4
1.0,0.9359771013259888,9,9
1.0,0.16072732210159302,14,14
1.0,-0.4276776611804962,19,19
1.0,-0.9700525999069214,24,24
1.0,-1.5557819604873657,29,29
1.0,-2.3705546855926514,34,34
1.0,-2.897834062576294,39,39
1.0,-3.413846731185913,44,44
1.0,-2.743795871734619,49,49
1.0,-2.9559812545776367,54,54
1.0,-2.7593655586242676,59,59
1.0,-3.0949923992156982,64,64
1.0,-3.2443835735321045,69,69
1.0,-2.9693400859832764,74,74
1.0,-2.821183443069458,79,79
1.0,-3.10567307472229,84,84
1.0,-3.1176939010620117,89,89
1.0,-3.290271043777466,94,94
1.0,-2.9457271099090576,99,99
