epoch,loss,step,outside box penalty
4,1.2722688913345337,4,1.0
9,0.8669756054878235,9,1.0
14,-0.1428411453962326,14,1.0
19,-1.2281466722488403,19,1.0
24,-1.0301178693771362,24,1.0
29,-0.9098199605941772,29,1.0
34,-2.1646249294281006,34,1.0
39,-2.8537440299987793,39,1.0
44,-2.901064157485962,44,1.0
49,-3.095757246017456,49,1.0
54,-3.6542904376983643,54,1.0
59,-3.4994583129882812,59,1.0
64,-3.3312056064605713,64,1.0
69,-2.9852757453918457,69,1.0
74,-2.9943039417266846,74,1.0
79,-3.5090551376342773,79,1.0
84,-3.5465033054351807,84,1.0
89,-3.4452593326568604,89,1.0
94,-3.4767346382141113,94,1.0
99,-3.76279616355896,99,1.0
