outside box penalty,loss,epoch,step
1.0,1.2821685075759888,4,4
1.0,0.835967481136322,9,9
1.0,-0.44405612349510193,14,14
1.0,1.3485894203186035,19,19
1.0,0.3921601474285126,24,24
