outside box penalty,loss,step,epoch
1.0,1.2762901782989502,4,4
1.0,0.800837516784668,9,9
1.0,-0.521382749080658,14,14
1.0,-1.4078960418701172,19,19
1.0,-1.333561658859253,24,24
1.0,-1.6156619787216187,29,29
1.0,-1.7186827659606934,34,34
1.0,-1.8311280012130737,39,39
1.0,-1.9651795625686646,44,44
1.0,-2.1624486446380615,49,49
1.0,-2.4387454986572266,54,54
1.0,-2.90767240524292,59,59
1.0,-3.1714890003204346,64,64
1.0,-3.1650326251983643,69,69
1.0,-3.2424216270446777,74,74
1.0,-3.182798147201538,79,79
1.0,-3.3592607975006104,84,84
1.0,-3.705127239227295,89,89
1.0,-3.828946113586426,94,94
1.0,-3.7535197734832764,99,99
