epoch,loss,step,outside box penalty
4,1.2417103052139282,4,1.0
9,0.6148385405540466,9,1.0
14,-0.8217540383338928,14,1.0
19,-0.9800208806991577,19,1.0
24,-0.9122996926307678,24,1.0
29,-0.09937367588281631,29,1.0
34,-0.6049829125404358,34,1.0
39,-0.8169851899147034,39,1.0
44,-1.2045191526412964,44,1.0
49,-1.4794379472732544,49,1.0
54,-1.6479867696762085,54,1.0
59,-1.6625367403030396,59,1.0
64,-1.6636908054351807,64,1.0
69,-1.7505463361740112,69,1.0
74,-1.663774013519287,74,1.0
79,-1.6813435554504395,79,1.0
84,-1.7139774560928345,84,1.0
89,-1.8575122356414795,89,1.0
94,-1.577222466468811,94,1.0
99,-1.744516134262085,99,1.0
