epoch,loss,step,outside box penalty
4,1.2952888011932373,4,1.0
9,0.8898180723190308,9,1.0
14,-0.11908970028162003,14,1.0
19,-0.9497418403625488,19,1.0
24,-0.8943884968757629,24,1.0
29,-1.0000232458114624,29,1.0
34,-0.9560011029243469,34,1.0
39,-1.0126765966415405,39,1.0
44,-0.9464163184165955,44,1.0
49,-1.0533028841018677,49,1.0
54,-1.0392986536026,54,1.0
59,-1.066122055053711,59,1.0
64,-1.0931694507598877,64,1.0
69,-1.1128228902816772,69,1.0
74,-1.1240625381469727,74,1.0
79,-1.1369649171829224,79,1.0
84,-1.149194359779358,84,1.0
89,-1.1600134372711182,89,1.0
94,-1.172714352607727,94,1.0
99,-1.1785824298858643,99,1.0
