step,loss,epoch,outside box penalty
4,1.269274115562439,4,1.000014066696167
9,1.2599493265151978,9,1.0000137090682983
14,1.2488957643508911,14,1.0000132322311401
19,1.2366337776184082,19,1.000012755393982
24,1.2229938507080078,24,1.0000121593475342
29,1.2078486680984497,29,1.000011682510376
34,1.1905426979064941,34,1.0000114440917969
39,1.1735998392105103,39,1.0000113248825073
44,1.1526367664337158,44,1.0000113248825073
49,1.1318492889404297,49,1.0000122785568237
54,1.106909155845642,54,1.000014305114746
59,1.0841515064239502,59,1.0000165700912476
64,1.0614632368087769,64,1.0000187158584595
69,1.0376360416412354,69,1.000020980834961
74,1.014965295791626,74,1.0000243186950684
79,0.9916229844093323,79,1.0000271797180176
84,0.9694466590881348,84,1.000029444694519
89,0.95160311460495,89,1.0000301599502563
94,0.9303973317146301,94,1.00002920627594
99,0.9123855829238892,99,1.0000321865081787
104,0.8955795764923096,104,1.0000313520431519
109,0.8743658065795898,109,1.0000324249267578
114,0.8492162227630615,114,1.0000332593917847
119,0.825774610042572,119,1.0000321865081787
124,0.7956425547599792,124,1.000032663345337
129,0.7661282420158386,129,1.000032901763916
134,0.7872503399848938,134,1.0000330209732056
139,0.7345119118690491,139,1.0000357627868652
144,0.7969272136688232,144,1.0000351667404175
149,0.7222938537597656,149,1.0000362396240234
154,0.714592695236206,154,1.000037670135498
159,0.6908658742904663,159,1.0000380277633667
164,0.6787980794906616,164,1.0000369548797607
169,0.6931886672973633,169,1.000036358833313
174,0.7143124341964722,174,1.0000349283218384
179,0.6620428562164307,179,1.0000337362289429
184,0.6558790802955627,184,1.0000354051589966
189,0.6532933712005615,189,1.0000373125076294
194,0.6454090476036072,194,1.000037431716919
199,0.6618090271949768,199,1.0000373125076294
204,0.6430006623268127,204,1.0000367164611816
209,0.6506706476211548,209,1.0000367164611816
214,0.6363783478736877,214,1.0000368356704712
219,0.6464929580688477,219,1.0000370740890503
224,0.6371699571609497,224,1.0000367164611816
229,0.63543301820755,229,1.0000369548797607
234,0.636311411857605,234,1.000036597251892
239,0.6233688592910767,239,1.0000371932983398
244,0.6359052658081055,244,1.000037670135498
249,0.6490921974182129,249,1.0000381469726562
254,0.6444198489189148,254,1.000038504600525
259,0.6148151755332947,259,1.0000383853912354
264,0.614854633808136,264,1.000038743019104
269,0.6096248626708984,269,1.000038981437683
274,0.6100280284881592,274,1.000040054321289
279,0.6508743166923523,279,1.000040054321289
284,0.6040337681770325,284,1.0000395774841309
289,0.6183648109436035,289,1.00003981590271
294,0.6543400883674622,294,1.0000402927398682
299,0.6201757192611694,299,1.0000404119491577
304,0.601277232170105,304,1.0000402927398682
309,0.5925413370132446,309,1.0000402927398682
314,0.6031478643417358,314,1.0000406503677368
319,0.6164278984069824,319,1.000041127204895
324,0.6128188967704773,324,1.0000417232513428
329,0.6187300086021423,329,1.0000418424606323
334,0.6060671806335449,334,1.0000418424606323
339,0.6292456984519958,339,1.0000419616699219
344,0.6365818381309509,344,1.0000420808792114
349,0.5857353210449219,349,1.0000417232513428
354,0.5831870436668396,354,1.0000412464141846
359,0.5847812294960022,359,1.0000413656234741
364,0.6014628410339355,364,1.0000423192977905
369,0.6231204271316528,369,1.0000427961349487
374,0.5910334587097168,374,1.00004243850708
379,0.6547231674194336,379,1.0000417232513428
384,0.5780915021896362,384,1.0000418424606323
389,0.5777481198310852,389,1.0000418424606323
394,0.5811704993247986,394,1.000042200088501
399,0.5743441581726074,399,1.000042200088501
404,0.5719100832939148,404,1.0000423192977905
409,0.5712997317314148,409,1.0000429153442383
414,0.5679103136062622,414,1.000043272972107
419,0.5650953054428101,419,1.0000436305999756
424,0.5686630010604858,424,1.0000430345535278
429,0.5620805025100708,429,1.000043272972107
434,0.5606845617294312,434,1.0000430345535278
439,0.5592186450958252,439,1.0000431537628174
444,0.5577666163444519,444,1.0000431537628174
449,0.5563541650772095,449,1.000043272972107
454,0.5548615455627441,454,1.0000431537628174
459,0.5535457134246826,459,1.0000431537628174
464,0.5524306297302246,464,1.000043272972107
469,0.5512276291847229,469,1.000043272972107
474,0.5501386523246765,474,1.000043511390686
479,0.5506746768951416,479,1.0000433921813965
484,0.5469927787780762,484,1.000043272972107
489,0.5461397767066956,489,1.0000438690185547
494,0.5449469089508057,494,1.0000436305999756
499,0.5446013808250427,499,1.0000437498092651
