outside box penalty,loss,epoch,step
1.0,1.2556426525115967,4,4
1.0,0.6893520951271057,9,9
1.0,-0.8672500252723694,14,14
1.0,-2.0029399394989014,19,19
1.0,-0.1696668118238449,24,24
