epoch,loss,step,outside box penalty
4,1.310098648071289,4,1.0
9,0.941744863986969,9,1.0
14,-0.15586881339550018,14,1.0
19,-1.0851496458053589,19,1.0
24,-0.5557411313056946,24,1.0
29,-1.0104702711105347,29,1.0
34,-0.9388803839683533,34,1.0
39,-0.9400199055671692,39,1.0
44,-0.9678918123245239,44,1.0
49,-1.0450552701950073,49,1.0
54,-1.0640321969985962,54,1.0
59,-0.5556309223175049,59,1.0
64,-1.050511121749878,64,1.0
69,-0.38469699025154114,69,1.0
74,-0.003745813388377428,74,1.0
79,-1.037981629371643,79,1.0
84,-0.9627862572669983,84,1.0
89,-1.0410921573638916,89,1.0
94,-1.1962753534317017,94,1.0
99,-1.2233190536499023,99,1.0
