epoch,loss,step,outside box penalty
4,1.2450416088104248,4,1.0
9,0.6889450550079346,9,1.0
14,-0.5727403163909912,14,1.0
19,-0.770682692527771,19,1.0
24,-0.6423361301422119,24,1.0
29,1.0096285343170166,29,1.0
34,1.1790275573730469,34,1.0
39,1.1909818649291992,39,1.0
44,1.165162444114685,44,1.0
49,1.120436429977417,49,1.0
54,1.042389988899231,54,1.0
59,0.9142739772796631,59,1.0
64,0.6893376111984253,64,1.0
69,0.23873721063137054,69,1.0
74,-0.8235089182853699,74,1.0
79,-1.3341397047042847,79,1.0
84,-0.9346894025802612,84,1.0
89,-1.4098507165908813,89,1.0
94,-2.3810625076293945,94,1.0
99,-2.9140830039978027,99,1.0
