outside box penalty,loss,step,epoch
1.0,1.229198932647705,4,4
1.0,0.5717607140541077,9,9
1.0,-0.8742226362228394,14,14
1.0,-1.0898686647415161,19,19
1.0,-0.32061055302619934,24,24
1.0,-1.4095196723937988,29,29
1.0,-1.1623153686523438,34,34
1.0,-1.2298660278320312,39,39
1.0,-1.367761254310608,44,44
1.0,-1.5808498859405518,49,49
1.0,-1.6484532356262207,54,54
1.0,-1.638882040977478,59,59
1.0,-1.6530779600143433,64,64
1.0,-1.6880238056182861,69,69
1.0,-1.7455514669418335,74,74
1.0,-1.8103681802749634,79,79
1.0,-1.8581315279006958,84,84
1.0,-1.7702256441116333,89,89
1.0,-1.956735610961914,94,94
1.0,-2.2677340507507324,99,99
