epoch,loss,step,outside box penalty
4,1.1960328817367554,4,1.0
9,0.5396321415901184,9,1.0
14,-0.7432942986488342,14,1.0
19,-0.21634772419929504,19,1.0
24,-0.3505402207374573,24,1.0
29,-1.1404680013656616,29,1.0
34,-1.284449815750122,34,1.0
39,-1.3354620933532715,39,1.0
44,-1.400952696800232,44,1.0
49,-1.4589546918869019,49,1.0
54,-1.4663909673690796,54,1.0
59,-1.4999276399612427,59,1.0
64,-1.5347703695297241,64,1.0
69,-1.5703880786895752,69,1.0
74,-1.607120156288147,74,1.0
79,-1.6204184293746948,79,1.0
84,-1.674702525138855,84,1.0
89,-1.73734450340271,89,1.0
94,-1.074804425239563,94,1.0
99,-1.6542751789093018,99,1.0
