epoch,loss,step,outside box penalty
4,1.2512837648391724,4,1.0
9,0.7008981704711914,9,1.0
14,-0.8062177896499634,14,1.0
19,-1.368225336074829,19,1.0
24,-1.3209563493728638,24,1.0
29,-1.5243734121322632,29,1.0
34,-1.7682178020477295,34,1.0
39,-2.097242832183838,39,1.0
44,-2.4434590339660645,44,1.0
49,-3.0135271549224854,49,1.0
54,-3.618579626083374,54,1.0
59,-3.7067790031433105,59,1.0
64,-3.6920125484466553,64,1.0
69,-3.4877641201019287,69,1.0
74,-3.72788405418396,74,1.0
79,-4.051405906677246,79,1.0
84,-4.085089683532715,84,1.0
89,-4.050063133239746,89,1.0
94,-4.2803425788879395,94,1.0
99,-4.1765618324279785,99,1.0
