loss,epoch,step,outside box penalty
1.3774162530899048,4,4,1.0000025033950806
1.4379258155822754,9,9,1.0000030994415283
1.3747814893722534,14,14,1.0000078678131104
1.343625783920288,19,19,1.0000146627426147
