outside box penalty,loss,step,epoch
1.0,1.2781648635864258,4,4
1.0,0.8110259771347046,9,9
1.0,-0.52781742811203,14,14
1.0,-1.4983010292053223,19,19
1.0,0.25707441568374634,24,24
1.0,0.9894586205482483,29,29
1.0,-0.7266591191291809,34,34
1.0,-1.0918375253677368,39,39
1.0,-1.6267696619033813,44,44
1.0,-1.9129427671432495,49,49
1.0,-2.3939459323883057,54,54
1.0,-2.9347050189971924,59,59
1.0,-3.671330690383911,64,64
1.0,-3.8804564476013184,69,69
1.0,-4.048544406890869,74,74
1.0,-4.1095051765441895,79,79
1.0,-3.7118284702301025,84,84
1.0,-3.874004602432251,89,89
1.0,-4.0826263427734375,94,94
1.0,-4.2676100730896,99,99
