outside box penalty,loss,step,epoch
1.0,1.2980546951293945,4,4
1.0,0.8971430659294128,9,9
1.0,-0.06843920797109604,14,14
1.0,-1.004425287246704,19,19
1.0,-0.8662213087081909,24,24
1.0,-0.8232190012931824,29,29
1.0,-0.8456804752349854,34,34
1.0,-0.7710642218589783,39,39
1.0,-0.9181842803955078,44,44
1.0,-1.0726393461227417,49,49
1.0,-0.9956035614013672,54,54
1.0,-1.105448603630066,59,59
1.0,-1.1171343326568604,64,64
1.0,-1.1609009504318237,69,69
1.0,-1.166524887084961,74,74
1.0,-1.1791406869888306,79,79
1.0,-1.1866283416748047,84,84
1.0,-1.1884676218032837,89,89
1.0,-1.1925127506256104,94,94
1.0,-1.2047377824783325,99,99
