outside box penalty,loss,step,epoch
1.0,1.3271530866622925,4,4
1.0,1.0262420177459717,9,9
1.0,0.16733936965465546,14,14
1.0,-1.05893874168396,19,19
1.0,-1.3598442077636719,24,24
1.0,-1.5521910190582275,29,29
1.0,-1.5313879251480103,34,34
1.0,-1.608803153038025,39,39
1.0,-1.659439206123352,44,44
1.0,-1.1845566034317017,49,49
1.0,-1.5120441913604736,54,54
1.0,-1.5429216623306274,59,59
1.0,-1.7184675931930542,64,64
1.0,-0.7245161533355713,69,69
1.0,-1.7877713441848755,74,74
1.0,-1.5892771482467651,79,79
1.0,-1.5496066808700562,84,84
1.0,-2.011094331741333,89,89
1.0,-2.587911605834961,94,94
1.0,-3.1860508918762207,99,99
