outside box penalty,loss,epoch,step
1.0,1.1028538942337036,4,4
1.0,0.2781708240509033,9,9
1.0,-1.3066186904907227,14,14
1.0,-1.2302812337875366,19,19
1.0,-2.3869073390960693,24,24
