outside box penalty,loss,epoch,step
1.0,1.2794193029403687,4,4
1.0,0.8600590229034424,9,9
1.0,-0.19146659970283508,14,14
1.0,-1.3052988052368164,19,19
1.0,-2.049248218536377,24,24
