outside box penalty,loss,step,epoch
1.0,1.154380440711975,4,4
1.0,0.2674078941345215,9,9
1.0,-0.7603742480278015,14,14
1.0,-1.0777617692947388,19,19
1.0,-1.0280195474624634,24,24
1.0,-1.26005220413208,29,29
1.0,-1.3987935781478882,34,34
1.0,-1.5405280590057373,39,39
1.0,-1.4972189664840698,44,44
1.0,-1.6120984554290771,49,49
1.0,-1.5904440879821777,54,54
1.0,-1.6417211294174194,59,59
1.0,-1.7795268297195435,64,64
1.0,-1.7734423875808716,69,69
1.0,-1.93189537525177,74,74
1.0,-2.053701639175415,79,79
1.0,-2.247309446334839,84,84
1.0,-2.4890151023864746,89,89
1.0,-2.818948984146118,94,94
1.0,-3.18405818939209,99,99
