outside box penalty,loss,step,epoch
1.0,1.1168776750564575,4,4
1.0,0.2944052219390869,9,9
1.0,-1.6239173412322998,14,14
1.0,-3.0472371578216553,19,19
1.0,-3.809354543685913,24,24
1.0,-3.5297749042510986,29,29
1.0,-3.4646708965301514,34,34
1.0,-4.084323406219482,39,39
1.0,-3.8120739459991455,44,44
1.0,-4.185452461242676,49,49
1.0,-4.057987689971924,54,54
1.0,-4.22560977935791,59,59
1.0,-4.267096042633057,64,64
1.0,-4.286719799041748,69,69
1.0,-4.268016815185547,74,74
1.0,-4.304474830627441,79,79
1.0,-4.227171897888184,84,84
1.0,-4.08820104598999,89,89
1.0,-4.187415599822998,94,94
1.0,-4.088191032409668,99,99
