outside box penalty,loss,step,epoch
1.0,1.2246423959732056,4,4
1.0,0.6034126877784729,9,9
1.0,-1.0339909791946411,14,14
1.0,-1.592446208000183,19,19
1.0,-1.5060091018676758,24,24
1.0,-1.9927856922149658,29,29
1.0,-2.5584614276885986,34,34
1.0,-3.497392416000366,39,39
1.0,-3.8504834175109863,44,44
1.0,-4.057172775268555,49,49
1.0,-4.172413349151611,54,54
1.0,-4.279098033905029,59,59
1.0,-4.273764133453369,64,64
1.0,-4.396017551422119,69,69
1.0,-4.3996124267578125,74,74
1.0,-4.44503116607666,79,79
1.0,-4.437681674957275,84,84
1.0,-4.477505207061768,89,89
1.0,-4.491168975830078,94,94
1.0,-4.477000713348389,99,99
