outside box penalty,loss,step,epoch
1.0,1.284164309501648,4,4
1.0,0.8174422383308411,9,9
1.0,-0.44246023893356323,14,14
1.0,-0.292156457901001,19,19
1.0,-1.1971051692962646,24,24
1.0,-1.374472975730896,29,29
1.0,-1.3131942749023438,34,34
1.0,-1.3034971952438354,39,39
1.0,-1.3093434572219849,44,44
1.0,-1.4853065013885498,49,49
1.0,-1.5977680683135986,54,54
1.0,-1.6585696935653687,59,59
1.0,-1.7295951843261719,64,64
1.0,-1.7939664125442505,69,69
1.0,-1.8445770740509033,74,74
1.0,-1.9861290454864502,79,79
1.0,-1.999870777130127,84,84
1.0,-2.0632150173187256,89,89
1.0,-2.187802791595459,94,94
1.0,-2.5032012462615967,99,99
