epoch,loss,step,outside box penalty
4,1.2043308019638062,4,1.0
9,0.46257850527763367,9,1.0
14,-0.08245490491390228,14,1.0
19,-0.362423837184906,19,1.0
24,-0.925205409526825,24,1.0
29,-0.9063905477523804,29,1.0
34,-0.9315376877784729,34,1.0
39,-0.8906700611114502,39,1.0
44,-0.9937563538551331,44,1.0
49,-0.9593698978424072,49,1.0
54,-1.0177620649337769,54,1.0
59,-1.0166376829147339,59,1.0
64,-1.0597238540649414,64,1.0
69,-1.079142689704895,69,1.0
74,-1.0994926691055298,74,1.0
79,-1.1216570138931274,79,1.0
84,-1.1287533044815063,84,1.0
89,-1.150871992111206,89,1.0
94,-1.1472275257110596,94,1.0
99,-1.259805679321289,99,1.0
