outside box penalty,loss,step,epoch
1.0,1.2606518268585205,4,4
1.0,0.7156370878219604,9,9
1.0,-0.6033567786216736,14,14
1.0,-1.5994921922683716,19,19
1.0,1.0367263555526733,24,24
1.0,-0.5641303062438965,29,29
1.0,-0.35435765981674194,34,34
1.0,-1.1264111995697021,39,39
1.0,-0.9643244743347168,44,44
1.0,-1.296267032623291,49,49
1.0,-1.6289401054382324,54,54
1.0,-1.606797218322754,59,59
1.0,-1.7508471012115479,64,64
1.0,-1.7328585386276245,69,69
1.0,-1.6737593412399292,74,74
1.0,-1.7728711366653442,79,79
1.0,-1.8443742990493774,84,84
1.0,-1.8883583545684814,89,89
1.0,-1.8753501176834106,94,94
1.0,-1.942312240600586,99,99
