epoch,loss,step,outside box penalty
4,1.239351749420166,4,1.0
9,0.6444144248962402,9,1.0
14,-0.7210298180580139,14,1.0
19,-0.7997079491615295,19,1.0
24,-1.202085256576538,24,1.0
29,-1.19302499294281,29,1.0
34,-1.2375911474227905,34,1.0
39,-1.3697868585586548,39,1.0
44,-1.2327150106430054,44,1.0
49,-1.552510380744934,49,1.0
54,-1.4430577754974365,54,1.0
59,-1.601198673248291,59,1.0
64,-1.8136059045791626,64,1.0
69,-2.017930507659912,69,1.0
74,-2.31681752204895,74,1.0
79,-2.6205601692199707,79,1.0
84,-2.987422466278076,84,1.0
89,-3.23628830909729,89,1.0
94,-3.4624853134155273,94,1.0
99,-3.578396797180176,99,1.0
