outside box penalty,loss,step,epoch
1.0,1.1880254745483398,4,4
1.0,0.5681762099266052,9,9
1.0,-0.6956422328948975,14,14
1.0,-1.1346747875213623,19,19
1.0,-0.9729428887367249,24,24
1.0,-1.6441621780395508,29,29
1.0,-1.6678701639175415,34,34
1.0,-1.7778061628341675,39,39
1.0,-1.90478515625,44,44
1.0,-1.8365426063537598,49,49
1.0,-1.8568278551101685,54,54
1.0,-2.006316900253296,59,59
1.0,-2.392138957977295,64,64
1.0,-2.7817821502685547,69,69
1.0,-3.4556941986083984,74,74
1.0,-3.9380409717559814,79,79
1.0,-3.886054277420044,84,84
1.0,-3.9391274452209473,89,89
1.0,-4.05072021484375,94,94
1.0,-3.9993741512298584,99,99
