epoch,loss,step,outside box penalty
4,1.1446173191070557,4,1.0
9,0.32310160994529724,9,1.0
14,-1.5257421731948853,14,1.0
19,-2.668773889541626,19,1.0
24,-3.627687692642212,24,1.0
29,-3.5059287548065186,29,1.0
34,-3.9382686614990234,34,1.0
39,-3.8535923957824707,39,1.0
44,-4.206460475921631,44,1.0
49,-4.037714958190918,49,1.0
54,-3.9691250324249268,54,1.0
59,-4.206869125366211,59,1.0
64,-4.125596523284912,64,1.0
69,-4.152261734008789,69,1.0
74,-4.1059980392456055,74,1.0
79,-4.0511932373046875,79,1.0
84,-4.130399703979492,84,1.0
89,-4.265949249267578,89,1.0
94,-4.251933574676514,94,1.0
99,-4.310179233551025,99,1.0
