epoch,loss,step,outside box penalty
4,1.2185171842575073,4,1.0
9,0.6198765635490417,9,1.0
14,-0.5857247710227966,14,1.0
19,-1.0175408124923706,19,1.0
24,0.4856346845626831,24,1.0
29,-0.7037518620491028,29,1.0
34,-0.7075157761573792,34,1.0
39,-0.9278556704521179,39,1.0
44,-0.8923095464706421,44,1.0
49,-1.121124505996704,49,1.0
54,-1.2215749025344849,54,1.0
59,-1.365884780883789,59,1.0
64,-1.338753342628479,64,1.0
69,-1.5142889022827148,69,1.0
74,-1.6379739046096802,74,1.0
79,-1.853250503540039,79,1.0
84,-2.1770741939544678,84,1.0
89,-2.6122546195983887,89,1.0
94,-2.8598337173461914,94,1.0
99,-2.8165628910064697,99,1.0
