epoch,loss,step,outside box penalty
4,1.223016619682312,4,1.0
9,0.6776735186576843,9,1.0
14,-0.6088584661483765,14,1.0
19,-1.21710205078125,19,1.0
24,-1.7009607553482056,24,1.0
29,-2.2566018104553223,29,1.0
34,-2.935384750366211,34,1.0
39,-3.350593090057373,39,1.0
44,-3.82671856880188,44,1.0
49,-3.7622127532958984,49,1.0
54,-4.088498115539551,54,1.0
59,-3.7052080631256104,59,1.0
64,-3.7164762020111084,64,1.0
69,-3.6553187370300293,69,1.0
74,-3.933767557144165,74,1.0
79,-4.067629814147949,79,1.0
84,-4.151281356811523,84,1.0
89,-4.19033670425415,89,1.0
94,-4.184206485748291,94,1.0
99,-3.9279003143310547,99,1.0
