outside box penalty,loss,step,epoch
1.0,1.2575534582138062,4,4
1.0,0.6297880411148071,9,9
1.0,-0.7219552397727966,14,14
1.0,-1.3254778385162354,19,19
1.0,-1.431741714477539,24,24
1.0,-1.0917531251907349,29,29
1.0,-1.236175537109375,34,34
1.0,-1.4180585145950317,39,39
1.0,-1.5384258031845093,44,44
1.0,-1.4161827564239502,49,49
1.0,-1.2886677980422974,54,54
1.0,-1.3771483898162842,59,59
1.0,-1.5599470138549805,64,64
1.0,-1.6336991786956787,69,69
1.0,-1.6581099033355713,74,74
1.0,-1.6519551277160645,79,79
1.0,-1.6946322917938232,84,84
1.0,-1.6439749002456665,89,89
1.0,-1.3685588836669922,94,94
1.0,-1.4191397428512573,99,99
