outside box penalty,loss,step,epoch
1.0,1.253996729850769,4,4
1.0,0.7353390455245972,9,9
1.0,-0.6447426080703735,14,14
1.0,-1.0684442520141602,19,19
1.0,-1.134511113166809,24,24
1.0,-1.1300663948059082,29,29
1.0,-1.2361817359924316,34,34
1.0,-1.3363916873931885,39,39
1.0,-1.445658802986145,44,44
1.0,-1.5595275163650513,49,49
1.0,-1.7393426895141602,54,54
1.0,-1.8125640153884888,59,59
1.0,-2.1446430683135986,64,64
1.0,-2.402539014816284,69,69
1.0,-2.735051393508911,74,74
1.0,-3.0353758335113525,79,79
1.0,-2.9525163173675537,84,84
1.0,-3.2959518432617188,89,89
1.0,-3.385274648666382,94,94
1.0,-3.245288848876953,99,99
