outside box penalty,loss,step,epoch
1.0,1.2336571216583252,4,4
1.0,0.7275059223175049,9,9
1.0,-0.45742180943489075,14,14
1.0,-1.9938225746154785,19,19
1.0,-2.6219193935394287,24,24
1.0,-3.454524278640747,29,29
1.0,-3.36527156829834,34,34
1.0,-3.5562520027160645,39,39
1.0,-3.139582872390747,44,44
1.0,-3.613394021987915,49,49
1.0,-3.7921924591064453,54,54
1.0,-3.8003172874450684,59,59
1.0,-3.9084243774414062,64,64
1.0,-3.8516359329223633,69,69
1.0,-3.9290578365325928,74,74
1.0,-3.872957229614258,79,79
1.0,-3.996856689453125,84,84
1.0,-3.9545788764953613,89,89
1.0,-3.8875632286071777,94,94
1.0,-4.020515441894531,99,99
