outside box penalty,loss,step,epoch
1.0,1.2873806953430176,4,4
1.0,0.8111072778701782,9,9
1.0,-0.48678797483444214,14,14
1.0,-0.5541759729385376,19,19
1.0,-0.5593876838684082,24,24
1.0,-1.2458176612854004,29,29
1.0,-1.1684263944625854,34,34
1.0,-1.14131760597229,39,39
1.0,-1.272020936012268,44,44
1.0,-1.196932077407837,49,49
1.0,-1.2731971740722656,54,54
1.0,-1.2997987270355225,59,59
1.0,-1.2901723384857178,64,64
1.0,-1.3059333562850952,69,69
1.0,-1.3109819889068604,74,74
1.0,-1.32096529006958,79,79
1.0,-1.3362417221069336,84,84
1.0,-1.3418956995010376,89,89
1.0,-1.3492190837860107,94,94
1.0,-1.3566982746124268,99,99
