outside box penalty,loss,epoch,step
1.0,1.2000821828842163,4,4
1.0,0.4507599174976349,9,9
1.0,-1.202985405921936,14,14
1.0,-1.6940600872039795,19,19
1.0,-1.6855785846710205,24,24
