outside box penalty,loss,epoch,step
1.0,1.2390605211257935,4,4
1.0,0.724355936050415,9,9
1.0,-0.46246567368507385,14,14
1.0,1.660882830619812,19,19
1.0,0.5087723135948181,24,24
