epoch,loss,step,outside box penalty
4,1.2036465406417847,4,1.0
9,0.5517112016677856,9,1.0
14,-1.034093976020813,14,1.0
19,-3.3602776527404785,19,1.0
24,-3.122188091278076,24,1.0
29,-3.4825599193573,29,1.0
34,-3.757683038711548,34,1.0
39,-4.197211265563965,39,1.0
44,-4.237954139709473,44,1.0
49,-4.3200459480285645,49,1.0
54,-4.314675331115723,54,1.0
59,-4.327010631561279,59,1.0
64,-4.318585395812988,64,1.0
69,-4.352644920349121,69,1.0
74,-4.3306732177734375,74,1.0
79,-4.43710994720459,79,1.0
84,-4.411945343017578,84,1.0
89,-4.4117207527160645,89,1.0
94,-4.287924766540527,94,1.0
99,-4.127212047576904,99,1.0
