epoch,loss,step,outside box penalty
4,1.2024385929107666,4,1.0
9,0.5005875825881958,9,1.0
14,-0.46907252073287964,14,1.0
19,-1.090306282043457,19,1.0
24,-0.039649851620197296,24,1.0
29,-0.7392444610595703,29,1.0
34,-0.8798635601997375,34,1.0
39,-0.7646897435188293,39,1.0
44,-1.0116634368896484,44,1.0
49,-1.1566877365112305,49,1.0
54,-1.0974217653274536,54,1.0
59,-1.1826369762420654,59,1.0
64,-1.2503002882003784,64,1.0
69,-1.2801332473754883,69,1.0
74,-1.333412766456604,74,1.0
79,-1.390885353088379,79,1.0
84,-1.4791396856307983,84,1.0
89,-1.627714991569519,89,1.0
94,-1.8717831373214722,94,1.0
99,-2.2475528717041016,99,1.0
