outside box penalty,loss,epoch,step
1.0,1.2026264667510986,4,4
1.0,0.44994136691093445,9,9
1.0,-1.4612852334976196,14,14
1.0,-1.0604077577590942,19,19
1.0,3.721047878265381,24,24
